608,"crime, law and justice",1
621,"crime, law and justice",3
625,"crime, law and justice",64
625,disaster and accident,5
625,"unrest, conflicts and war",4
628,"unrest, conflicts and war",37
628,"crime, law and justice",27
628,religion and belief,7
628,disaster and accident,1
633,"crime, law and justice",3
639,"crime, law and justice",14
639,"unrest, conflicts and war",1
640,"crime, law and justice",19
645,"crime, law and justice",6
645,"unrest, conflicts and war",2
663,"crime, law and justice",3
669,"crime, law and justice",1
669,"unrest, conflicts and war",1
677,"crime, law and justice",1
687,"crime, law and justice",1
689,"crime, law and justice",31
689,"unrest, conflicts and war",8
689,religion and belief,3
689,disaster and accident,1
698,religion and belief,1
698,"unrest, conflicts and war",1
700,"crime, law and justice",1
701,"crime, law and justice",4
708,"unrest, conflicts and war",5
708,"crime, law and justice",2
721,"crime, law and justice",3
721,"unrest, conflicts and war",2
721,disaster and accident,1
722,"crime, law and justice",29
722,disaster and accident,7
722,"unrest, conflicts and war",5
722,religion and belief,1
723,"crime, law and justice",17
723,disaster and accident,2
743,"crime, law and justice",3
743,"unrest, conflicts and war",2
751,"crime, law and justice",15
751,disaster and accident,3
751,"unrest, conflicts and war",2
754,"unrest, conflicts and war",1
759,religion and belief,1
760,"unrest, conflicts and war",2
760,"crime, law and justice",1
762,"unrest, conflicts and war",5
762,"crime, law and justice",1
764,"unrest, conflicts and war",103
764,"crime, law and justice",78
764,religion and belief,45
764,disaster and accident,36
766,"crime, law and justice",5
767,"crime, law and justice",18
767,disaster and accident,1
805,"crime, law and justice",4
807,"crime, law and justice",2
834,"crime, law and justice",1
849,"crime, law and justice",2
856,"crime, law and justice",1
856,disaster and accident,1
864,"unrest, conflicts and war",2
864,religion and belief,1
865,"unrest, conflicts and war",4
865,"crime, law and justice",2
883,"crime, law and justice",15
883,"unrest, conflicts and war",3
883,disaster and accident,1
886,"crime, law and justice",33
886,"unrest, conflicts and war",8
886,disaster and accident,2
891,"crime, law and justice",19
891,"unrest, conflicts and war",3
928,"crime, law and justice",31
928,disaster and accident,6
928,"unrest, conflicts and war",2
944,"crime, law and justice",1
958,"crime, law and justice",6
958,"unrest, conflicts and war",3
971,"crime, law and justice",2
971,"unrest, conflicts and war",1
978,"crime, law and justice",4
978,"unrest, conflicts and war",3
996,"unrest, conflicts and war",10
996,religion and belief,6
996,"crime, law and justice",5
1010,"unrest, conflicts and war",39
1010,"crime, law and justice",13
1010,religion and belief,2
1012,"crime, law and justice",11
1012,disaster and accident,7
1012,religion and belief,1
1012,"unrest, conflicts and war",1
1016,"unrest, conflicts and war",6
1016,"crime, law and justice",4
1019,"crime, law and justice",41
1019,religion and belief,15
1019,"unrest, conflicts and war",15
1019,disaster and accident,10
1020,disaster and accident,3
1020,"crime, law and justice",2
1020,religion and belief,1
1020,"unrest, conflicts and war",1
1022,"unrest, conflicts and war",26
1022,"crime, law and justice",5
1023,"unrest, conflicts and war",55
1023,"crime, law and justice",12
1023,disaster and accident,5
1023,religion and belief,4
1073,"crime, law and justice",4
1073,"unrest, conflicts and war",1
1075,"crime, law and justice",2
1090,"crime, law and justice",2
1096,"crime, law and justice",51
1096,"unrest, conflicts and war",6
1096,disaster and accident,3
1097,"crime, law and justice",2
1097,disaster and accident,1
1098,"crime, law and justice",6
1098,"unrest, conflicts and war",4
1098,disaster and accident,1
1102,"crime, law and justice",4
1103,"crime, law and justice",7
1103,religion and belief,2
1103,disaster and accident,1
1103,"unrest, conflicts and war",1
1104,"crime, law and justice",16
1104,disaster and accident,1
1104,"unrest, conflicts and war",1
1111,"crime, law and justice",15
1111,disaster and accident,1
1111,religion and belief,1
1112,"crime, law and justice",26
1112,"unrest, conflicts and war",6
1112,disaster and accident,3
1113,"unrest, conflicts and war",10
1113,"crime, law and justice",6
1113,religion and belief,1
1115,"crime, law and justice",1
1118,"unrest, conflicts and war",12
1118,"crime, law and justice",6
1118,religion and belief,4
1125,"unrest, conflicts and war",1
1126,"unrest, conflicts and war",6
1126,"crime, law and justice",5
1126,disaster and accident,2
1127,"crime, law and justice",11
1127,"unrest, conflicts and war",3
1128,"crime, law and justice",1
1128,religion and belief,1
1129,"crime, law and justice",17
1129,"unrest, conflicts and war",11
1129,disaster and accident,5
1182,"crime, law and justice",15
1182,"unrest, conflicts and war",14
1182,religion and belief,1
1192,"crime, law and justice",21
1192,"unrest, conflicts and war",2
1192,disaster and accident,1
1195,"crime, law and justice",2
1195,"unrest, conflicts and war",2
1198,"unrest, conflicts and war",1
1203,"crime, law and justice",1
1203,"unrest, conflicts and war",1
1206,"crime, law and justice",1
1206,"unrest, conflicts and war",1
1214,"crime, law and justice",24
1214,disaster and accident,2
1214,religion and belief,2
1214,"unrest, conflicts and war",1
1221,"crime, law and justice",8
1221,disaster and accident,1
1222,"crime, law and justice",166
1222,"unrest, conflicts and war",162
1222,disaster and accident,16
1222,religion and belief,11
1223,"unrest, conflicts and war",5
1224,"crime, law and justice",13
1224,"unrest, conflicts and war",4
1225,"crime, law and justice",20
1225,"unrest, conflicts and war",7
1225,disaster and accident,2
1226,"crime, law and justice",3
1226,"unrest, conflicts and war",2
1227,"unrest, conflicts and war",1
1236,"crime, law and justice",6
1236,"unrest, conflicts and war",4
1236,religion and belief,2
1259,"unrest, conflicts and war",6
1259,religion and belief,4
1259,"crime, law and justice",2
1259,disaster and accident,1
1266,"unrest, conflicts and war",41
1266,"crime, law and justice",33
1266,religion and belief,4
1266,disaster and accident,1
1267,"crime, law and justice",14
1267,"unrest, conflicts and war",12
1267,disaster and accident,2
1270,"unrest, conflicts and war",10
1270,"crime, law and justice",3
1270,disaster and accident,2
1270,religion and belief,1
1278,"unrest, conflicts and war",10
1278,"crime, law and justice",2
1284,disaster and accident,2
1284,"unrest, conflicts and war",2
1284,"crime, law and justice",1
1293,"crime, law and justice",2
1293,religion and belief,1
1325,"unrest, conflicts and war",2
1353,disaster and accident,1
1369,"crime, law and justice",2
1384,"crime, law and justice",1
1436,"unrest, conflicts and war",5
1436,"crime, law and justice",1
1468,"crime, law and justice",25
1507,"unrest, conflicts and war",24
1507,"crime, law and justice",17
1507,disaster and accident,3
1508,"unrest, conflicts and war",6
1508,"crime, law and justice",2
1508,religion and belief,2
1510,"crime, law and justice",11
1510,disaster and accident,4
1512,"crime, law and justice",40
1512,disaster and accident,3
1512,"unrest, conflicts and war",2
1519,"unrest, conflicts and war",4
1519,"crime, law and justice",1
1520,"unrest, conflicts and war",10
1520,"crime, law and justice",4
1521,"unrest, conflicts and war",1
1522,"crime, law and justice",19
1522,"unrest, conflicts and war",6
1522,disaster and accident,5
1523,"unrest, conflicts and war",30
1523,"crime, law and justice",14
1523,religion and belief,1
1524,"crime, law and justice",27
1524,"unrest, conflicts and war",6
1524,disaster and accident,4
1524,religion and belief,4
1525,"unrest, conflicts and war",35
1525,"crime, law and justice",33
1525,disaster and accident,2
1526,"unrest, conflicts and war",7
1526,"crime, law and justice",3
1527,"crime, law and justice",5
1527,"unrest, conflicts and war",3
1531,"unrest, conflicts and war",5
1531,"crime, law and justice",4
1531,disaster and accident,1
1532,"crime, law and justice",5
1532,"unrest, conflicts and war",2
1533,"crime, law and justice",8
1533,"unrest, conflicts and war",2
1534,"unrest, conflicts and war",1
1535,"crime, law and justice",1
1535,"unrest, conflicts and war",1
1536,"unrest, conflicts and war",11
1536,"crime, law and justice",5
1540,"crime, law and justice",3
1540,religion and belief,1
1540,"unrest, conflicts and war",1
1543,"unrest, conflicts and war",8
1543,"crime, law and justice",2
1544,"crime, law and justice",3
1545,"unrest, conflicts and war",8
1545,"crime, law and justice",2
1545,disaster and accident,2
1547,"unrest, conflicts and war",1
1548,"unrest, conflicts and war",95
1548,religion and belief,10
1548,"crime, law and justice",7
1548,disaster and accident,2
1549,"crime, law and justice",3
1549,religion and belief,1
1549,"unrest, conflicts and war",1
1551,religion and belief,1
1551,"unrest, conflicts and war",1
1552,"crime, law and justice",5
1552,disaster and accident,2
1552,religion and belief,2
1553,"crime, law and justice",13
1553,"unrest, conflicts and war",7
1554,"unrest, conflicts and war",2
1554,"crime, law and justice",1
1554,disaster and accident,1
1556,"crime, law and justice",1
1558,"unrest, conflicts and war",22
1558,"crime, law and justice",9
1558,religion and belief,3
1558,disaster and accident,1
1561,"unrest, conflicts and war",23
1561,"crime, law and justice",13
1561,religion and belief,2
1565,"unrest, conflicts and war",2
1566,"unrest, conflicts and war",6
1566,"crime, law and justice",4
1566,religion and belief,3
1568,"crime, law and justice",1
1568,"unrest, conflicts and war",1
1569,"crime, law and justice",3
1569,disaster and accident,1
1572,"crime, law and justice",11
1572,disaster and accident,3
1573,"unrest, conflicts and war",10
1573,"crime, law and justice",2
1573,disaster and accident,1
1574,"crime, law and justice",2
1575,"unrest, conflicts and war",9
1575,"crime, law and justice",5
1576,"crime, law and justice",5
1576,"unrest, conflicts and war",1
1578,"unrest, conflicts and war",2
1579,"unrest, conflicts and war",6
1579,"crime, law and justice",2
1580,"crime, law and justice",6
1580,"unrest, conflicts and war",4
1581,"crime, law and justice",1
1581,"unrest, conflicts and war",1
1582,"crime, law and justice",7
1582,"unrest, conflicts and war",2
1583,"crime, law and justice",4
1583,"unrest, conflicts and war",3
1584,"unrest, conflicts and war",3
1584,"crime, law and justice",1
1585,"crime, law and justice",10
1585,disaster and accident,1
1586,"crime, law and justice",2
1586,"unrest, conflicts and war",1
1587,"crime, law and justice",14
1587,"unrest, conflicts and war",3
1588,"unrest, conflicts and war",18
